stocksymbol	datereport	priorcloseprice	ceiling	floor	openprice	highest	lowest	last	totalshare	totalvalue
DTT	2016-04-21T00:00:00+07:00	10200.0000	10900.0000	9500.0000	9500.0000	10900.0000	9500.0000	10900.0000	290	2780000
DVP	2016-04-21T00:00:00+07:00	72000.0000	77000.0000	67000.0000	72500.0000	72500.0000	70500.0000	72500.0000	1660	117590000
DXG	2016-04-21T00:00:00+07:00	15500.0000	16500.0000	14500.0000	15600.0000	15700.0000	15100.0000	15200.0000	567670	8725020000
DXV	2016-04-21T00:00:00+07:00	4100.0000	4300.0000	3900.0000	4100.0000	4100.0000	4100.0000	4100.0000	100	410000
E1VFVN30	2016-04-21T00:00:00+07:00	9200.0000	9800.0000	8600.0000	9200.0000	9300.0000	9200.0000	9300.0000	4010	37190000
EIB	2016-04-21T00:00:00+07:00	10400.0000	11100.0000	9700.0000	10400.0000	10500.0000	10300.0000	10500.0000	376310	3916000000
ELC	2016-04-21T00:00:00+07:00	22300.0000	23800.0000	20800.0000	22300.0000	22800.0000	22200.0000	22700.0000	180220	4056040000
EMC	2016-04-21T00:00:00+07:00	10600.0000	11300.0000	9900.0000	10900.0000	10900.0000	10900.0000	10900.0000	20	220000
EVE	2016-04-21T00:00:00+07:00	42000.0000	44900.0000	39100.0000	42200.0000	44800.0000	42200.0000	43800.0000	413520	18102170000
FCM	2016-04-21T00:00:00+07:00	5400.0000	5700.0000	5100.0000	5500.0000	5600.0000	5500.0000	5500.0000	243610	1340460000
FCN	2016-04-21T00:00:00+07:00	21500.0000	23000.0000	20000.0000	21500.0000	21700.0000	21300.0000	21500.0000	247030	5308560000
FDC	2016-04-21T00:00:00+07:00	27800.0000	29700.0000	25900.0000	0.0000	0.0000	0.0000	27800.0000	0	0
FIT	2016-04-21T00:00:00+07:00	7200.0000	7700.0000	6700.0000	7200.0000	7300.0000	7100.0000	7200.0000	853290	6141780000
