code	trading_date	basic_price	ceiling_price	floor_price	open_price	highest_price	lowest_price	average_price	close_price	nm_total_traded_qtty	nm_total_traded_value
PTM	2016-04-21T00:00:00+07:00	12500	14300	10700	0	0	0		12500	0	0
PTP	2016-04-21T00:00:00+07:00	8800	10100	7500	0	0	0		8800	0	0
PTT	2016-04-21T00:00:00+07:00	3100	3500	2700	3500	3500	3500		3500	100	350000
PVA	2016-04-21T00:00:00+07:00	1200	1300	1100	1200	1200	1200		1200	14700	17640000
PVO	2016-04-21T00:00:00+07:00	5300	6000	4600	5900	5900	4700		4700	300	1530000
PX1	2016-04-21T00:00:00+07:00	7000	9800	4200	0	0	0		7000	0	0
PXM	2016-04-21T00:00:00+07:00	900	1000	800	900	900	900		900	8400	7560000
QCC	2016-04-21T00:00:00+07:00	7500	8600	6400	8600	8600	8500		8600	2200	18900000
QPH	2016-04-21T00:00:00+07:00	8000	9200	6800	7000	7000	7000		7000	50000	350000000
RBC	2016-04-21T00:00:00+07:00	13000	18200	7800	0	0	0		0	0	0
RCD	2016-04-21T00:00:00+07:00	15700	18000	13400	18000	18000	14100		18000	278400	4384960000
S27	2016-04-21T00:00:00+07:00	8300	9500	7100	0	0	0		8300	0	0
S33	2016-04-21T00:00:00+07:00	9000	10300	7700	0	0	0		9000	0	0
S96	2016-04-21T00:00:00+07:00	1100	1200	1000	1000	1100	1000		1100	11200	12200000
SAS	2016-04-21T00:00:00+07:00	26900	30900	22900	28300	28300	28000		28100	1800	50590000
SBS	2016-04-21T00:00:00+07:00	1900	2100	1700	1900	1900	1800		1900	120010	228010000
SCC	2016-04-21T00:00:00+07:00	4500	5100	3900	0	0	0		4500	0	0
SCO	2016-04-21T00:00:00+07:00	2000	2300	1700	0	0	0		2000	0	0
SD1	2016-04-21T00:00:00+07:00	3500	4000	3000	0	0	0		3500	0	0
SD3	2016-04-21T00:00:00+07:00	6800	7800	5800	5800	5800	5800		5800	100	580000
SD8	2016-04-21T00:00:00+07:00	1000	1100	900	1000	1000	1000		1000	1500	1500000
SDB	2016-04-21T00:00:00+07:00	2700	3100	2300	2800	2800	2800		2800	100	280000
SDI	2016-04-21T00:00:00+07:00	36000	41400	30600	36000	36000	35300		36000	55500	1984090000
