code	trading_date	basic_price	ceiling_price	floor_price	open_price	highest_price	lowest_price	average_price	close_price	nm_total_traded_qtty	nm_total_traded_value
TDN	2016-04-21T00:00:00+07:00	8800	9600	8000	0	0	0		8800	0	0
TEG	2016-04-21T00:00:00+07:00	17600	19300	15900	17600	18400	17100		17100	286000	5052840000
TET	2016-04-21T00:00:00+07:00	20700	22700	18700	0	0	0		20700	0	0
TFC	2016-04-21T00:00:00+07:00	25000	27500	22500	25500	25500	24000		24000	1200	29100000
TH1	2016-04-21T00:00:00+07:00	18000	19800	16200	0	0	0		18000	0	0
THB	2016-04-21T00:00:00+07:00	22300	24500	20100	21000	21900	21000		21900	1100	23190000
THS	2016-04-21T00:00:00+07:00	7100	7800	6400	7000	7000	6900		6900	1100	7600000
THT	2016-04-21T00:00:00+07:00	13100	14400	11800	13200	13200	13200		13200	200	2640000
TIG	2016-04-21T00:00:00+07:00	8700	9500	7900	8700	8900	8500		8800	1432900	12443930000
TJC	2016-04-21T00:00:00+07:00	9700	10600	8800	9600	9700	9600		9700	2900	28120000
TKC	2016-04-21T00:00:00+07:00	13100	14400	11800	13000	13000	13000		13000	1000	13000000
TKU	2016-04-21T00:00:00+07:00	9000	9900	8100	0	0	0		9000	0	0
TMC	2016-04-21T00:00:00+07:00	13400	14700	12100	13500	13500	13500		13500	500	6750000
TMX	2016-04-21T00:00:00+07:00	4000	4400	3600	0	0	0		4000	0	0
TNG	2016-04-21T00:00:00+07:00	18000	19800	16200	18000	18200	17800		17800	283332	5099511000
TPH	2016-04-21T00:00:00+07:00	11500	12600	10400	0	0	0		11500	0	0
TPP	2016-04-21T00:00:00+07:00	23000	25300	20700	25000	25000	23600		23600	1600	39300000
TSB	2016-04-21T00:00:00+07:00	8200	9000	7400	0	0	0		8200	0	0
TST	2016-04-21T00:00:00+07:00	5700	6200	5200	0	0	0		5700	0	0
TTB	2016-04-21T00:00:00+07:00	11700	12800	10600	11700	11800	11600		11700	679400	7953960000
TTC	2016-04-21T00:00:00+07:00	19900	21800	18000	19900	20300	19700		19900	54132	1078685000
TTZ	2016-04-21T00:00:00+07:00	4300	4700	3900	4500	4500	4400		4400	23200	102560000
TV2	2016-04-21T00:00:00+07:00	95000	104500	85500	93000	95000	91500		91500	8300	774810000
TV3	2016-04-21T00:00:00+07:00	26200	28800	23600	0	0	0		26200	0	0
TV4	2016-04-21T00:00:00+07:00	13000	14300	11700	12600	13100	12500		13100	7000	89100000
TVC	2016-04-21T00:00:00+07:00	13600	14900	12300	13600	13900	13500		13600	1211100	16464110000
TVD	2016-04-21T00:00:00+07:00	8100	8900	7300	0	0	0		8100	0	0
TXM	2016-04-21T00:00:00+07:00	7600	8300	6900	6900	6900	6900		6900	100	690000
UNI	2016-04-21T00:00:00+07:00	9200	10100	8300	9000	9100	8900		8900	7800	69880000
V12	2016-04-21T00:00:00+07:00	11400	12500	10300	11400	11500	11400		11500	300	3430000
V21	2016-04-21T00:00:00+07:00	5000	5500	4500	0	0	0		5000	0	0
VAT	2016-04-21T00:00:00+07:00	13200	14500	11900	13200	13200	12800		13000	158100	2057020000
VBC	2016-04-21T00:00:00+07:00	56000	61600	50400	0	0	0		56000	0	0
VBH	2016-04-21T00:00:00+07:00	14800	16200	13400	0	0	0		14800	0	0
VC1	2016-04-21T00:00:00+07:00	18000	19800	16200	0	0	0		18000	0	0
VC2	2016-04-21T00:00:00+07:00	16000	17600	14400	17100	17100	15900		16000	11500	184460000
VC3	2016-04-21T00:00:00+07:00	31400	34500	28300	31200	31900	31200		31500	106700	3375550000
VC5	2016-04-21T00:00:00+07:00	2800	3000	2600	3000	3000	3000		3000	5600	16800000
VC6	2016-04-21T00:00:00+07:00	9400	10300	8500	8600	8600	8600		8600	100	860000
VC7	2016-04-21T00:00:00+07:00	14300	15700	12900	14100	14600	13500		14600	17400	252560000
VC9	2016-04-21T00:00:00+07:00	10200	11200	9200	0	0	0		10200	0	0
VCC	2016-04-21T00:00:00+07:00	17100	18800	15400	16900	18100	15600		18000	139990	2307612000
VCG	2016-04-21T00:00:00+07:00	10400	11400	9400	10400	10600	10400		10500	577155	6043952000
VCM	2016-04-21T00:00:00+07:00	17500	19200	15800	17700	17700	17700		17700	100	1770000
VCR	2016-04-21T00:00:00+07:00	2900	3100	2700	2700	2800	2700		2800	17800	48680000
VCS	2016-04-21T00:00:00+07:00	91200	100300	82100	91300	94900	91200		93800	86968	8142615800
VDL	2016-04-21T00:00:00+07:00	35600	39100	32100	0	0	0		35600	0	0
VDS	2016-04-21T00:00:00+07:00	8200	9000	7400	7900	7900	7800		7800	26000	203100000
VE1	2016-04-21T00:00:00+07:00	8900	9700	8100	0	0	0		8900	0	0
VE2	2016-04-21T00:00:00+07:00	14800	16200	13400	0	0	0		14800	0	0
VE3	2016-04-21T00:00:00+07:00	14900	16300	13500	15000	15300	15000		15300	1600	24030000
VE4	2016-04-21T00:00:00+07:00	12400	13600	11200	0	0	0		12400	0	0
VE8	2016-04-21T00:00:00+07:00	11000	12100	9900	10000	11000	10000		11000	1800	18100000
VE9	2016-04-21T00:00:00+07:00	7800	8500	7100	8100	8100	8100		8100	100	810000
VFR	2016-04-21T00:00:00+07:00	14000	15400	12600	13700	14000	13600		13900	14200	196980000
VGP	2016-04-21T00:00:00+07:00	17900	19600	16200	18000	18000	18000		18000	1300	23400000
VGS	2016-04-21T00:00:00+07:00	10800	11800	9800	10900	11300	10500		11300	1508630	16614568000
VHL	2016-04-21T00:00:00+07:00	46500	51100	41900	47000	47000	47000		47000	4900	230300000
VIE	2016-04-21T00:00:00+07:00	1800	1900	1700	0	0	0		1800	0	0
VIG	2016-04-21T00:00:00+07:00	3300	3600	3000	3300	3400	3300		3400	89300	294700000
VIT	2016-04-21T00:00:00+07:00	24500	26900	22100	24500	24500	23900		24000	33420	802137000
VIX	2016-04-21T00:00:00+07:00	8500	9300	7700	8600	8700	8400		8500	503940	4297134000
VKC	2016-04-21T00:00:00+07:00	14600	16000	13200	14700	15000	14700		14800	90900	1347100000
VLA	2016-04-21T00:00:00+07:00	11600	12700	10500	0	0	0		11600	0	0
VMC	2016-04-21T00:00:00+07:00	28300	31100	25500	25500	25500	25500		25500	100	2550000
VMI	2016-04-21T00:00:00+07:00	6500	7100	5900	6500	6600	6400		6400	60100	388020000
VMS	2016-04-21T00:00:00+07:00	12800	14000	11600	0	0	0		12800	0	0
VNC	2016-04-21T00:00:00+07:00	33000	36300	29700	32500	32500	32500		32500	400	13000000
VND	2016-04-21T00:00:00+07:00	11500	12600	10400	11500	11600	11400		11600	727100	8360750000
VNF	2016-04-21T00:00:00+07:00	53000	58300	47700	0	0	0		53000	0	0
VNR	2016-04-21T00:00:00+07:00	18900	20700	17100	18800	18800	18800		18800	40400	759520000
VNT	2016-04-21T00:00:00+07:00	33900	37200	30600	31800	33300	30700		32400	700	22260000
VSA	2016-04-21T00:00:00+07:00	27000	29700	24300	26800	27200	26800		27100	5900	159760000
VTC	2016-04-21T00:00:00+07:00	8400	9200	7600	8300	9200	7700		8500	6500	55200000
VTH	2016-04-21T00:00:00+07:00	17000	18700	15300	17000	17700	17000		17700	12900	221500000
VTL	2016-04-21T00:00:00+07:00	23900	26200	21600	0	0	0		23900	0	0
VTS	2016-04-21T00:00:00+07:00	10600	11600	9600	10600	10600	10600		10600	2100	22260000
VTV	2016-04-21T00:00:00+07:00	18400	20200	16600	18900	18900	18400		18900	307567	5741512900
VXB	2016-04-21T00:00:00+07:00	10900	11900	9900	0	0	0		10900	0	0
WCS	2016-04-21T00:00:00+07:00	156000	171600	140400	157000	157000	155000		155000	1100	170700000
WSS	2016-04-21T00:00:00+07:00	5700	6200	5200	5700	5700	5500		5500	159700	895070000
