source	ticker	market	date	yyyymmdd	shli	shou	shfn	pref	pcei	pflr	popn	phgh	plow	pbase	pavg	pcls	vlm	trn	adj_pcls	adj_coeff
EXC	SPM	HSX	2016/04/21	20160421				18900	20200	17600	19400	19400	18900		18900	18900	1010	19090000		
EXC	SRC	HSX	2016/04/21	20160421				32100	34300	29900	32200	32500	32000		32140	32500	74720	2401150000		
EXC	SRF	HSX	2016/04/21	20160421				17700	18900	16500	17500	18200	17500		17850	18200	4970	88700000		
EXC	SSC	HSX	2016/04/21	20160421				46000	49200	42800	0	0	0		0	0	0	0		
EXC	SSI	HSX	2016/04/21	20160421				21200	22600	19800	21500	21500	21100		21240	21200	1740550	36973810000		
EXC	ST8	HSX	2016/04/21	20160421				23600	25200	22000	23600	23600	23400		23520	23500	12330	289950000		
EXC	STB	HSX	2016/04/21	20160421				10000	10700	9300	9900	10400	9900		10090	10200	2322450	23439250000		
EXC	STG	HSX	2016/04/21	20160421				14900	15900	13900	15000	15000	14900		15000	15000	1760	26400000		
EXC	STK	HSX	2016/04/21	20160421				27900	29800	26000	27800	28000	27800		27900	28000	27700	772800000		
EXC	STT	HSX	2016/04/21	20160421				4900	5200	4600	4900	5200	4900		5120	5200	300	1540000		
EXC	SVC	HSX	2016/04/21	20160421				32000	34200	29800	32000	32600	31900		32150	32600	59260	1905130000		
EXC	SVI	HSX	2016/04/21	20160421				38300	40900	35700	36100	36300	36100		36100	36300	710	25630000		
EXC	SVT	HSX	2016/04/21	20160421				12600	13400	11800	0	0	0		0	0	0	0		
EXC	SZL	HSX	2016/04/21	20160421				20500	21900	19100	21500	21500	20100		20860	20900	4150	86550000		
EXC	TAC	HSX	2016/04/21	20160421				51000	54500	47500	51000	51000	48000		48500	48000	80	3880000		
EXC	TBC	HSX	2016/04/21	20160421				25000	26700	23300	24500	24500	24500		24500	24500	30	740000		
EXC	TCL	HSX	2016/04/21	20160421				28900	30900	26900	28800	29000	28500		28710	28700	5690	163350000		
EXC	TCM	HSX	2016/04/21	20160421				24900	26600	23200	24900	25400	24900		25130	25200	244110	6134660000		
EXC	TCO	HSX	2016/04/21	20160421				11500	11000	9600	10600	10600	10200		10400	10400	1330	13830000		
EXC	TCR	HSX	2016/04/21	20160421				9300	9900	8700	8700	9000	8700		8700	8700	124520	1083690000		
EXC	TCT	HSX	2016/04/21	20160421				57000	60500	53500	55000	58500	55000		57040	56500	27530	1570450000		
EXC	TDC	HSX	2016/04/21	20160421				7100	7500	6700	6900	6900	6700		6810	6800	433450	2949690000		
EXC	TDH	HSX	2016/04/21	20160421				13600	14500	12700	13500	14100	13300		13720	13900	163030	2236190000		
EXC	TDW	HSX	2016/04/21	20160421				26000	27800	24200	27400	27500	27200		27250	27500	290	7900000		
EXC	THG	HSX	2016/04/21	20160421				42000	44900	39100	43000	43000	42000		42030	42200	4310	181160000		
EXC	TIC	HSX	2016/04/21	20160421				11200	11900	10500	11200	11200	11200		11200	11200	5490	61490000		
EXC	TIE	HSX	2016/04/21	20160421				14700	15700	13700	14000	15400	14000		14240	14100	42440	604260000		
EXC	TIX	HSX	2016/04/21	20160421				25500	27200	23800	0	0	0		0	0	0	0		
EXC	TLG	HSX	2016/04/21	20160421				66500	71000	62000	65500	67500	65500		66870	66500	2950	197270000		
EXC	TLH	HSX	2016/04/21	20160421				7500	8000	7000	7600	7800	7500		7560	7600	657400	4972390000		
EXC	TMP	HSX	2016/04/21	20160421				28000	29900	26100	28100	28100	28000		28010	28000	1210	33890000		
EXC	TMS	HSX	2016/04/21	20160421				67000	71500	62500	67000	67000	65000		66080	67000	5320	351540000		
EXC	TMT	HSX	2016/04/21	20160421				40000	42800	37200	37900	38900	37200		37560	38000	284870	10700190000		
EXC	TNA	HSX	2016/04/21	20160421				53000	56500	49300	53000	56000	53000		54980	54000	34020	1870580000		
EXC	TNC	HSX	2016/04/21	20160421				9000	9600	8400	8900	9000	8900		8950	9000	20	180000		
EXC	TNT	HSX	2016/04/21	20160421				23400	25000	21800	23400	23500	23200		23260	23200	236550	5501570000		
EXC	TPC	HSX	2016/04/21	20160421				7300	7800	6800	0	0	0		0	0	0	0		
EXC	TRA	HSX	2016/04/21	20160421				110000	117000	103000	113000	113000	110000		111070	113000	1620	179940000		
EXC	TRC	HSX	2016/04/21	20160421				23600	25200	22000	23600	24400	23600		24110	24300	111310	2683840000		
EXC	TS4	HSX	2016/04/21	20160421				7800	8300	7300	7800	7800	7800		7800	7800	5500	42900000		
EXC	TSC	HSX	2016/04/21	20160421				8700	9300	8100	8700	8700	8500		8610	8500	1591520	13703050000		
EXC	TTF	HSX	2016/04/21	20160421				29000	31000	27000	29000	29000	27600		28250	28000	344300	9727890000		
EXC	TV1	HSX	2016/04/21	20160421				13200	14100	12300	13100	13200	13100		13100	13200	1510	19780000		
EXC	TVS	HSX	2016/04/21	20160421				13100	14000	12200	13100	13200	13100		13110	13200	61300	803560000		
EXC	TYA	HSX	2016/04/21	20160421				12300	13100	11500	12800	12800	12500		12690	12800	48100	610570000		
EXC	UDC	HSX	2016/04/21	20160421				3200	3400	3000	3100	3300	3100		3220	3300	15020	48360000		
EXC	UIC	HSX	2016/04/21	20160421				23000	24600	21400	22600	22700	22500		22500	22700	25580	575580000		
EXC	VAF	HSX	2016/04/21	20160421				17600	18800	16400	17700	17700	17300		17300	17300	15860	274420000		
EXC	VCB	HSX	2016/04/21	20160421				42800	45700	39900	42800	43200	42600		42970	42900	818280	35160300000		
EXC	VCF	HSX	2016/04/21	20160421				176000	188000	164000	168000	168000	168000		168000	168000	40	6720000		
EXC	VFG	HSX	2016/04/21	20160421				67500	72000	63000	67500	67500	64500		65630	64500	31720	2081750000		
EXC	VHC	HSX	2016/04/21	20160421				29200	31200	27200	29300	29600	29000		29460	29000	47080	1387040000		
EXC	VHG	HSX	2016/04/21	20160421				5500	5800	5200	5600	5700	5500		5590	5500	2455860	13716840000		
EXC	VIC	HSX	2016/04/21	20160421				50500	54000	47000	51500	52500	50500		51590	51500	1196330	61722130000		
EXC	VID	HSX	2016/04/21	20160421				4400	4700	4100	4100	4400	4100		4130	4400	590	2430000		
EXC	VIP	HSX	2016/04/21	20160421				9200	9800	8600	9100	9500	9100		9290	9300	445370	4138240000		
EXC	VIS	HSX	2016/04/21	20160421				8000	8500	7500	8000	8100	7900		7980	8000	519820	4149730000		
EXC	VLF	HSX	2016/04/21	20160421				1200	1300	1100	1200	1200	1100		1100	1100	3510	3870000		
EXC	VMD	HSX	2016/04/21	20160421				29600	31600	27600	29000	29200	29000		29000	29000	80290	2328410000		
EXC	VNA	HSX	2016/04/21	20160421				2400	2500	2300	2300	2400	2300		2350	2400	20	50000		
EXC	VNE	HSX	2016/04/21	20160421				9600	10200	9000	9600	10200	9600		10030	10200	1147380	11505110000		
EXC	VNG	HSX	2016/04/21	20160421				11700	12500	10900	11600	11800	11600		11720	11800	31450	368600000		
EXC	VNH	HSX	2016/04/21	20160421				1200	1300	1100	1100	1200	1100		1170	1200	80880	94540000		
EXC	VNL	HSX	2016/04/21	20160421				26700	28500	24900	26500	26500	26500		26500	26500	50	1330000		
EXC	VNM	HSX	2016/04/21	20160421				136000	145000	127000	137000	138000	135000		136400	137000	748780	102136410000		
EXC	VNS	HSX	2016/04/21	20160421				27900	29800	26000	28200	29200	28200		28820	28500	409740	11809870000		
EXC	VOS	HSX	2016/04/21	20160421				2300	2400	2200	2300	2400	2200		2300	2300	82430	189630000		
EXC	VPH	HSX	2016/04/21	20160421				11000	11700	10300	11400	11400	11000		11190	11300	242050	2707870000		
EXC	VPK	HSX	2016/04/21	20160421				21700	23200	20200	21500	21500	20200		20270	21400	2280	46220000		
EXC	VPS	HSX	2016/04/21	20160421				21500	23000	20000	20500	21200	20200		20490	21200	1610	32980000		
EXC	VRC	HSX	2016/04/21	20160421				6200	6600	5800	6500	6500	6500		6500	6500	10	70000		
EXC	VSC	HSX	2016/04/21	20160421				57500	61500	53500	57000	58000	57000		57520	57500	26330	1514400000		
EXC	VSH	HSX	2016/04/21	20160421				14800	15800	13800	14800	14800	14500		14740	14800	10010	147580000		
EXC	VSI	HSX	2016/04/21	20160421				14700	15700	13700	14700	14700	14000		14260	14000	57750	823350000		
EXC	VTB	HSX	2016/04/21	20160421				13800	14700	12900	13800	14500	12900		13480	13800	3190	43000000		
EXC	VTO	HSX	2016/04/21	20160421				6500	6900	6100	6500	6600	6500		6600	6500	84130	554850000		
